Keyword,Current Position,Monthly Impressions,Monthly Clicks,Current CTR,CTR Potential,Traffic Potential,Opportunity Score,Opportunity Type,Priority
maths tuition online,59.4,855,0,0.00%,2.00%,17,41.5,Long-term Target,Medium
elon musk kids age,53.4,27,0,0.00%,2.00%,0,41.5,Long-term Target,Medium
how does the tesla referral program work,80.4,229,0,0.00%,2.00%,4,41.5,Long-term Target,Medium
infant games app,61.5,11,0,0.00%,2.00%,0,41.5,Long-term Target,Medium
captivate elearning,65.1,306,0,0.00%,2.00%,6,41.5,Long-term Target,Medium
ai worksheets for kindergarten,61.5,11,0,0.00%,2.00%,0,41.5,Long-term Target,Medium
individual games for kids,64.0,13,0,0.00%,2.00%,0,41.5,Long-term Target,Medium
frank and sons california,60.9,10,0,0.00%,2.00%,0,41.5,Long-term Target,Medium
ipad flashcard app,63.0,87,0,0.00%,2.00%,1,41.5,Long-term Target,Medium
math online tutoring jobs,60.4,21,0,0.00%,2.00%,0,41.5,Long-term Target,Medium
elon musk's kids names,76.6,58,0,0.00%,2.00%,1,41.5,Long-term Target,Medium
classroom tables cheap,80.7,305,0,0.00%,2.00%,6,41.5,Long-term Target,Medium
how to get an a in math,71.0,25,0,0.00%,2.00%,0,41.5,Long-term Target,Medium
engage ny math,82.6,28,0,0.00%,2.00%,0,41.5,Long-term Target,Medium
ai german tutor,67.5,13,0,0.00%,2.00%,0,41.5,Long-term Target,Medium
flashcards multiplication,73.2,105,0,0.00%,2.00%,2,41.5,Long-term Target,Medium
how old are elon musks kids,48.5,12,0,0.00%,2.00%,0,41.5,Long-term Target,Medium
elon musk child name,89.3,131,0,0.00%,2.00%,2,41.5,Long-term Target,Medium
how to download games on school chromebook,63.0,14,0,0.00%,2.00%,0,41.5,Long-term Target,Medium
lifetime camps,46.5,11,0,0.00%,2.00%,0,41.4,Long-term Target,Medium
best geometry tutors,74.7,97,0,0.00%,2.00%,1,41.4,Long-term Target,Medium
educational math video games,70.1,46,0,0.00%,2.00%,0,41.4,Long-term Target,Medium
elon musk ai voice changer app,63.8,16,0,0.00%,2.00%,0,41.4,Long-term Target,Medium
algebra 1 tutors,75.2,214,0,0.00%,2.00%,4,41.4,Long-term Target,Medium
how much is summer camp,78.5,61,0,0.00%,2.00%,1,41.4,Long-term Target,Medium
home tutors for adhd child,74.4,92,0,0.00%,2.00%,1,41.4,Long-term Target,Medium
free ai language tutor,78.5,167,0,0.00%,2.00%,3,41.4,Long-term Target,Medium
best learning tablet for toddlers,63.6,42,0,0.00%,2.00%,0,41.4,Long-term Target,Medium
educational tutor,22.0,25,0,0.00%,2.00%,0,41.4,First Page Push,Medium
into math,76.5,14,0,0.00%,2.00%,0,41.4,Long-term Target,Medium
creator of math,70.2,30,0,0.00%,2.00%,0,41.4,Long-term Target,Medium
how do homeschoolers make friends,74.5,91,0,0.00%,2.00%,1,41.4,Long-term Target,Medium
classroom tables,96.1,907,0,0.00%,2.00%,18,41.4,Long-term Target,Medium
french revolution simulation,69.3,23,0,0.00%,2.00%,0,41.4,Long-term Target,Medium
math videos for preschoolers,58.7,13,0,0.00%,2.00%,0,41.4,Long-term Target,Medium
free tutor training online,71.8,12,0,0.00%,2.00%,0,41.4,Long-term Target,Medium
mathe ia,71.8,12,0,0.00%,2.00%,0,41.4,Long-term Target,Medium
hollywood ca tutoring,74.3,88,0,0.00%,2.00%,1,41.4,Long-term Target,Medium
ipad hoes onderwijs,74.7,95,0,0.00%,2.00%,1,41.4,Long-term Target,Medium
good math tutor,63.9,16,0,0.00%,2.00%,0,41.4,Long-term Target,Medium
elon musk video game,79.9,11,0,0.00%,2.00%,0,41.4,Long-term Target,Medium
best app to learn times tables,62.2,12,0,0.00%,2.00%,0,41.4,Long-term Target,Medium
making math real,77.5,91,0,0.00%,2.00%,1,41.4,Long-term Target,Medium
amazon fire parent dashboard,75.8,13,0,0.00%,2.00%,0,41.4,Long-term Target,Medium
claire's coupon,87.8,987,0,0.00%,2.00%,19,41.4,Long-term Target,Medium
maths learning programme for children,72.1,60,0,0.00%,2.00%,1,41.4,Long-term Target,Medium
ideas for summer camp,67.8,16,0,0.00%,2.00%,0,41.4,Long-term Target,Medium
best online math tutoring,54.7,462,0,0.00%,2.00%,9,41.4,Long-term Target,Medium
games for kids 8,66.2,23,0,0.00%,2.00%,0,41.3,Long-term Target,Medium
best multiplication app,68.2,66,0,0.00%,2.00%,1,41.3,Long-term Target,Medium
dan discount,63.5,10,0,0.00%,2.00%,0,41.3,Long-term Target,Medium
do you do multiplication or addition first,75.0,130,0,0.00%,2.00%,2,41.3,Long-term Target,Medium
infant flash cards,73.1,48,0,0.00%,2.00%,0,41.3,Long-term Target,Medium
is superhuman email worth it,67.3,22,0,0.00%,2.00%,0,41.3,Long-term Target,Medium
maths private tutor near me,57.8,56,0,0.00%,2.00%,1,41.3,Long-term Target,Medium
decisions pronunciation,61.9,11,0,0.00%,2.00%,0,41.3,Long-term Target,Medium
best maths learning platform,73.9,80,0,0.00%,2.00%,1,41.3,Long-term Target,Medium
ai school program,72.0,27,0,0.00%,2.00%,0,41.3,Long-term Target,Medium
4th grade math enrichment,68.4,33,0,0.00%,2.00%,0,41.3,Long-term Target,Medium
how to learn fractions,77.0,129,0,0.00%,2.00%,2,41.3,Long-term Target,Medium
how much does maths tutoring cost,69.9,42,0,0.00%,2.00%,0,41.3,Long-term Target,Medium
card early education device,72.9,23,0,0.00%,2.00%,0,41.3,Long-term Target,Medium
camp mode tesla,83.8,40,0,0.00%,2.00%,0,41.3,Long-term Target,Medium
elon musk programming languages,61.4,10,0,0.00%,2.00%,0,41.3,Long-term Target,Medium
dhan careers,74.7,19,0,0.00%,2.00%,0,41.3,Long-term Target,Medium
maths for 10 year olds,76.2,111,0,0.00%,2.00%,2,41.3,Long-term Target,Medium
math tutor jobs online,67.2,53,1,1.89%,0.11%,0,41.3,Long-term Target,Medium
best games for school,56.1,26,0,0.00%,2.00%,0,41.3,Long-term Target,Medium
best math apps for 3rd grade,66.9,15,0,0.00%,2.00%,0,41.3,Long-term Target,Medium
best website for math tutoring,77.3,29,0,0.00%,2.00%,0,41.3,Long-term Target,Medium
easy way to learn math,58.4,197,0,0.00%,2.00%,3,41.3,Long-term Target,Medium
ipad games for toddlers,79.6,20,0,0.00%,2.00%,0,41.3,Long-term Target,Medium
7th grade science tutors,71.0,10,0,0.00%,2.00%,0,41.3,Long-term Target,Medium
math ai tool,48.0,22,0,0.00%,2.00%,0,41.3,Long-term Target,Medium
growth mindset kindergarten,69.2,13,0,0.00%,2.00%,0,41.2,Long-term Target,Medium
enrichment math activities for gifted students,70.0,42,0,0.00%,2.00%,0,41.2,Long-term Target,Medium
camp for preschoolers,69.7,34,0,0.00%,2.00%,0,41.2,Long-term Target,Medium
chat gpt lifetime subscription,63.7,43,0,0.00%,2.00%,0,41.2,Long-term Target,Medium
interactive games for kids,42.5,12,0,0.00%,2.00%,0,41.2,Long-term Target,Medium
elementary tutor online,55.6,46,0,0.00%,2.00%,0,41.2,Long-term Target,Medium
how much does tutoring cost per hour,71.3,130,0,0.00%,2.00%,2,41.2,Long-term Target,Medium
best ipad games for 7 year olds,62.6,19,0,0.00%,2.00%,0,41.2,Long-term Target,Medium
easiest way to learn times tables,76.4,151,0,0.00%,2.00%,3,41.2,Long-term Target,Medium
flashcards action,67.9,29,0,0.00%,2.00%,0,41.2,Long-term Target,Medium
5 year old math,65.1,10,0,0.00%,2.00%,0,41.2,Long-term Target,Medium
holiday games for kids classroom,68.1,17,0,0.00%,2.00%,0,41.2,Long-term Target,Medium
adventure time mathematical,75.2,20,0,0.00%,2.00%,0,41.2,Long-term Target,Medium
home tuition academy,73.1,14,0,0.00%,2.00%,0,41.2,Long-term Target,Medium
best tutoring software,75.1,1027,0,0.00%,2.00%,20,41.2,Long-term Target,Medium
apps to learn multiplication tables,56.7,13,0,0.00%,2.00%,0,41.2,Long-term Target,Medium
father of mathematics in india,72.9,64,0,0.00%,2.00%,1,41.2,Long-term Target,Medium
kids tutoring,44.1,526,0,0.00%,2.00%,10,41.2,Long-term Target,Medium
best tuition for maths near me,73.2,14,0,0.00%,2.00%,0,41.2,Long-term Target,Medium
in person tutor near me,51.7,11,0,0.00%,2.00%,0,41.2,Long-term Target,Medium
free money worksheets for kindergarten,72.7,107,0,0.00%,2.00%,2,41.2,Long-term Target,Medium
how to make child learn tables,72.3,12,0,0.00%,2.00%,0,41.2,Long-term Target,Medium
elon musk son age,59.6,97,0,0.00%,2.00%,1,41.2,Long-term Target,Medium
best times tables app,64.7,72,0,0.00%,2.00%,1,41.2,Long-term Target,Medium
kids holiday camps,68.3,29,0,0.00%,2.00%,0,41.2,Long-term Target,Medium
days of the week flashcards,75.4,47,0,0.00%,2.00%,0,41.2,Long-term Target,Medium
excellent online math tutoring platform,62.8,12,0,0.00%,2.00%,0,41.2,Long-term Target,Medium
josh.ai price,62.8,12,0,0.00%,2.00%,0,41.2,Long-term Target,Medium
how to create a summer camp,71.5,50,0,0.00%,2.00%,1,41.2,Long-term Target,Medium
dynamics customer voice trial,81.4,232,0,0.00%,2.00%,4,41.1,Long-term Target,Medium
math tutoring online jobs,66.8,29,0,0.00%,2.00%,0,41.1,Long-term Target,Medium
elon musk free digital download,68.1,29,0,0.00%,2.00%,0,41.1,Long-term Target,Medium
free elementary math lessons online,69.7,38,0,0.00%,2.00%,0,41.1,Long-term Target,Medium
elon musk son name pronunciation,80.1,31,0,0.00%,2.00%,0,41.1,Long-term Target,Medium
chat gpt mathematics,74.8,18,0,0.00%,2.00%,0,41.1,Long-term Target,Medium
learning teams,73.9,80,0,0.00%,2.00%,1,41.1,Long-term Target,Medium
best summer camps,78.9,306,0,0.00%,2.00%,6,41.1,Long-term Target,Medium
e math help,35.6,14,0,0.00%,2.00%,0,41.1,Long-term Target,Medium
how to teach math to kids,73.2,17,0,0.00%,2.00%,0,41.1,Long-term Target,Medium
free math tutors,41.4,30,0,0.00%,2.00%,0,41.1,Long-term Target,Medium
flashcards for 1 year old,68.4,10,0,0.00%,2.00%,0,41.1,Long-term Target,Medium
ai games,77.0,43,0,0.00%,2.00%,0,41.1,Long-term Target,Medium
best way to memorize multiplication,66.0,13,0,0.00%,2.00%,0,41.1,Long-term Target,Medium
free chat gpt for students,87.9,14,0,0.00%,2.00%,0,41.1,Long-term Target,Medium
afterschool tutor,24.6,26,0,0.00%,2.00%,0,41.1,First Page Push,Medium
learning platform for 4th grade math,79.9,41,0,0.00%,2.00%,0,41.1,Long-term Target,Medium
free trial chat line numbers,79.8,708,0,0.00%,2.00%,14,41.0,Long-term Target,Medium
hands on math,72.9,54,0,0.00%,2.00%,1,41.0,Long-term Target,Medium
interactive learning games for children,76.0,21,0,0.00%,2.00%,0,41.0,Long-term Target,Medium
can i get paid to homeschool my child in california,68.2,28,0,0.00%,2.00%,0,41.0,Long-term Target,Medium
how to do algebra,76.8,11,0,0.00%,2.00%,0,41.0,Long-term Target,Medium
la tutor,54.9,150,0,0.00%,2.00%,3,41.0,Long-term Target,Medium
check tutor,70.0,38,0,0.00%,2.00%,0,41.0,Long-term Target,Medium
excited syn,69.2,25,0,0.00%,2.00%,0,41.0,Long-term Target,Medium
best math apps for kids,66.7,758,0,0.00%,2.00%,15,41.0,Long-term Target,Medium
ai tool for mathematics,66.3,11,0,0.00%,2.00%,0,41.0,Long-term Target,Medium
live tutor help free,71.7,10,0,0.00%,2.00%,0,41.0,Long-term Target,Medium
boot camps for kids,80.3,48,0,0.00%,2.00%,0,41.0,Long-term Target,Medium
maths apps for kids,83.2,278,0,0.00%,2.00%,5,41.0,Long-term Target,Medium
math month,72.8,23,0,0.00%,2.00%,0,41.0,Long-term Target,Medium
maths warm up games,71.4,109,0,0.00%,2.00%,2,41.0,Long-term Target,Medium
everything for 420 coupon code,68.8,24,0,0.00%,2.00%,0,41.0,Long-term Target,Medium
engineering summer programmes 7 year old,79.2,35,0,0.00%,2.00%,0,41.0,Long-term Target,Medium
elon musk sons name,82.6,97,0,0.00%,2.00%,1,41.0,Long-term Target,Medium
fun school educational games,73.8,14,0,0.00%,2.00%,0,40.9,Long-term Target,Medium
ct the challenge age,77.3,10,0,0.00%,2.00%,0,40.9,Long-term Target,Medium
home tutor available,72.4,11,0,0.00%,2.00%,0,40.9,Long-term Target,Medium
best online tutors for 10th graders,71.8,10,0,0.00%,2.00%,0,40.9,Long-term Target,Medium
deliberate in spanish,71.8,10,0,0.00%,2.00%,0,40.9,Long-term Target,Medium
easy ways to learn multiplication,74.3,65,0,0.00%,2.00%,1,40.9,Long-term Target,Medium
algebra teacher,71.9,45,0,0.00%,2.00%,0,40.9,Long-term Target,Medium
math get to know you activity free,69.9,36,0,0.00%,2.00%,0,40.9,Long-term Target,Medium
maths online tutor jobs,77.1,112,0,0.00%,2.00%,2,40.9,Long-term Target,Medium
maths cover page design,67.7,25,0,0.00%,2.00%,0,40.9,Long-term Target,Medium
agility pronunciation,67.4,28,0,0.00%,2.00%,0,40.9,Long-term Target,Medium
live math tutor,65.2,313,0,0.00%,2.00%,6,40.9,Long-term Target,Medium
best way to remember multiplication tables,72.0,82,0,0.00%,2.00%,1,40.9,Long-term Target,Medium
how many hours is 8am to 6pm,74.0,11,0,0.00%,2.00%,0,40.9,Long-term Target,Medium
ai astro chat free,72.5,11,0,0.00%,2.00%,0,40.9,Long-term Target,Medium
founder of maths,75.8,93,0,0.00%,2.00%,1,40.9,Long-term Target,Medium
free tutors for math,41.9,33,0,0.00%,2.00%,0,40.9,Long-term Target,Medium
- year 7 maths tutors near me,73.5,13,0,0.00%,2.00%,0,40.9,Long-term Target,Medium
learning games for 6 year olds,40.0,233,0,0.00%,2.00%,4,40.9,Long-term Target,Medium
flashcards numbers,69.2,44,0,0.00%,2.00%,0,40.9,Long-term Target,Medium
8th grade math tutoring online free,36.0,10,0,0.00%,2.00%,0,40.9,Long-term Target,Medium
frank startup,67.5,22,0,0.00%,2.00%,0,40.9,Long-term Target,Medium
ai teaching tool,79.6,161,0,0.00%,2.00%,3,40.9,Long-term Target,Medium
fraction for kids,69.4,18,0,0.00%,2.00%,0,40.9,Long-term Target,Medium
best online maths tutoring australia,79.9,318,0,0.00%,2.00%,6,40.9,Long-term Target,Medium
division flash cards,91.1,419,0,0.00%,2.00%,8,40.9,Long-term Target,Medium
main summer club,73.5,13,0,0.00%,2.00%,0,40.9,Long-term Target,Medium
games for developing collaborative skills in teams videos,75.8,19,0,0.00%,2.00%,0,40.9,Long-term Target,Medium
friendship 720p online,65.2,16,0,0.00%,2.00%,0,40.9,Long-term Target,Medium
children ipad,70.5,30,0,0.00%,2.00%,0,40.9,Long-term Target,Medium
maths and english tuition online,31.5,33,0,0.00%,2.00%,0,40.9,Long-term Target,Medium
camping with tesla,66.6,10,0,0.00%,2.00%,0,40.9,Long-term Target,Medium
astro free ai,74.8,16,0,0.00%,2.00%,0,40.9,Long-term Target,Medium
design thinking summer camp,71.7,47,0,0.00%,2.00%,0,40.8,Long-term Target,Medium
maths lessons with a tutor,67.5,23,0,0.00%,2.00%,0,40.8,Long-term Target,Medium
flashcards for kindergarten,75.5,225,0,0.00%,2.00%,4,40.8,Long-term Target,Medium
best toddler flash cards,63.2,12,0,0.00%,2.00%,0,40.8,Long-term Target,Medium
how to understand fractions,74.6,102,0,0.00%,2.00%,2,40.8,Long-term Target,Medium
math tutorials,50.0,696,0,0.00%,2.00%,13,40.8,Long-term Target,Medium
free math tutoring for adults near me,60.7,17,0,0.00%,2.00%,0,40.8,Long-term Target,Medium
best camp games,70.6,46,0,0.00%,2.00%,0,40.8,Long-term Target,Medium
darpa usa,73.7,13,0,0.00%,2.00%,0,40.8,Long-term Target,Medium
how was math created,58.7,14,0,0.00%,2.00%,0,40.8,Long-term Target,Medium
best elearning games,68.7,28,0,0.00%,2.00%,0,40.8,Long-term Target,Medium
best educational games for 5 year olds ipad,87.5,122,0,0.00%,2.00%,2,40.8,Long-term Target,Medium
elon musk asd,74.8,21,0,0.00%,2.00%,0,40.8,Long-term Target,Medium
free live online math tutor,41.3,24,0,0.00%,2.00%,0,40.8,Long-term Target,Medium
best online math classes for kids,64.6,14,0,0.00%,2.00%,0,40.8,Long-term Target,Medium
educational summer camps,71.4,90,0,0.00%,2.00%,1,40.8,Long-term Target,Medium
kids try,37.8,17,0,0.00%,2.00%,0,40.8,Long-term Target,Medium
atypical mom,59.3,17,0,0.00%,2.00%,0,40.8,Long-term Target,Medium
math help near me,41.3,31,0,0.00%,2.00%,0,40.8,Long-term Target,Medium
in-home tutor,75.1,78,0,0.00%,2.00%,1,40.8,Long-term Target,Medium
math tutors for college students,60.6,41,0,0.00%,2.00%,0,40.8,Long-term Target,Medium
lifetime training login,61.3,68,0,0.00%,2.00%,1,40.8,Long-term Target,Medium
2nd grade tutoring online,72.8,53,0,0.00%,2.00%,1,40.8,Long-term Target,Medium
classroom flashcards,69.9,69,0,0.00%,2.00%,1,40.8,Long-term Target,Medium
easiest way to learn multiplication tables,66.5,13,0,0.00%,2.00%,0,40.8,Long-term Target,Medium
home tutor for maths,74.2,66,0,0.00%,2.00%,1,40.7,Long-term Target,Medium
how to become superhuman,76.4,29,0,0.00%,2.00%,0,40.7,Long-term Target,Medium
3rd grade age range,78.8,12,0,0.00%,2.00%,0,40.7,Long-term Target,Medium
flashcard world,58.7,38,0,0.00%,2.00%,0,40.7,Long-term Target,Medium
childrens ipad,72.9,36,0,0.00%,2.00%,0,40.7,Long-term Target,Medium
best apps for teaching math online,56.3,17,0,0.00%,2.00%,0,40.7,Long-term Target,Medium
constellations for kids,84.0,129,0,0.00%,2.00%,2,40.7,Long-term Target,Medium
[early years tutor],80.5,40,0,0.00%,2.00%,0,40.7,Long-term Target,Medium
mathematics teacher educator,69.4,10,0,0.00%,2.00%,0,40.7,Long-term Target,Medium
ai children,63.4,23,0,0.00%,2.00%,0,40.7,Long-term Target,Medium
best launcher for fire tablet,55.9,10,0,0.00%,2.00%,0,40.7,Long-term Target,Medium
how to turn chatgpt into dan,64.2,29,0,0.00%,2.00%,0,40.7,Long-term Target,Medium
elon musk kids name,82.4,245,0,0.00%,2.00%,4,40.7,Long-term Target,Medium
kindergarten tutoring services,79.2,144,0,0.00%,2.00%,2,40.7,Long-term Target,Medium
dhan pricing,76.3,19,0,0.00%,2.00%,0,40.7,Long-term Target,Medium
build a school app,76.9,21,0,0.00%,2.00%,0,40.7,Long-term Target,Medium
coding tutoring online,71.2,12,0,0.00%,2.00%,0,40.7,Long-term Target,Medium
age of elon musk,68.4,143,0,0.00%,2.00%,2,40.7,Long-term Target,Medium
communication problem solving,72.5,10,0,0.00%,2.00%,0,40.7,Long-term Target,Medium
free ai astro,75.6,17,0,0.00%,2.00%,0,40.7,Long-term Target,Medium
6th grade tutoring,77.1,186,0,0.00%,2.00%,3,40.7,Long-term Target,Medium
ai joshua,57.5,20,0,0.00%,2.00%,0,40.7,Long-term Target,Medium
adhd games online free,76.5,30,0,0.00%,2.00%,0,40.7,Long-term Target,Medium
elon age,57.2,283,0,0.00%,2.00%,5,40.7,Long-term Target,Medium
180 days homeschool curriculum,65.0,14,0,0.00%,2.00%,0,40.7,Long-term Target,Medium
maths tutor jobs,76.3,293,0,0.00%,2.00%,5,40.7,Long-term Target,Medium
ai education startup,78.9,134,0,0.00%,2.00%,2,40.6,Long-term Target,Medium
fit tutoring,68.2,21,0,0.00%,2.00%,0,40.6,Long-term Target,Medium
free astro ai,67.4,21,0,0.00%,2.00%,0,40.6,Long-term Target,Medium
first in math login password,72.6,10,0,0.00%,2.00%,0,40.6,Long-term Target,Medium
best summer camp in europe,73.8,59,0,0.00%,2.00%,1,40.6,Long-term Target,Medium
5 year old maths,73.2,11,0,0.00%,2.00%,0,40.6,Long-term Target,Medium
5 senses for kids,87.1,53,0,0.00%,2.00%,1,40.6,Long-term Target,Medium
ai problem solving website,67.6,18,0,0.00%,2.00%,0,40.6,Long-term Target,Medium
how much are tutors,73.0,114,0,0.00%,2.00%,2,40.6,Long-term Target,Medium
hyper independence test,86.8,129,0,0.00%,2.00%,2,40.6,Long-term Target,Medium
games for kids educational,27.3,24,0,0.00%,2.00%,0,40.6,Long-term Target,Medium
astro ai for free,66.6,18,0,0.00%,2.00%,0,40.6,Long-term Target,Medium
math tutor services,64.7,13,0,0.00%,2.00%,0,40.6,Long-term Target,Medium
boot camps for teens,82.3,14,0,0.00%,2.00%,0,40.6,Long-term Target,Medium
how many baby mamas does elon musk have,72.8,19,0,0.00%,2.00%,0,40.6,Long-term Target,Medium
best math tuition,58.2,23,0,0.00%,2.00%,0,40.6,Long-term Target,Medium
akin pronunciation,67.3,11,0,0.00%,2.00%,0,40.6,Long-term Target,Medium
chaos communication camp,64.2,12,0,0.00%,2.00%,0,40.6,Long-term Target,Medium
live math tutoring,64.2,12,0,0.00%,2.00%,0,40.6,Long-term Target,Medium
learning tools for 3 year olds,72.3,28,0,0.00%,2.00%,0,40.6,Long-term Target,Medium
math tutoring for 6th graders,73.6,56,0,0.00%,2.00%,1,40.6,Long-term Target,Medium
kindergarten classroom setup,90.5,130,0,0.00%,2.00%,2,40.6,Long-term Target,Medium
29 multiplication table,71.4,22,0,0.00%,2.00%,0,40.6,Long-term Target,Medium
how much does a private tutor make,80.8,212,0,0.00%,2.00%,4,40.6,Long-term Target,Medium
how old is elon musk kid,59.4,10,0,0.00%,2.00%,0,40.6,Long-term Target,Medium
math curriculum for dyslexia,70.5,13,0,0.00%,2.00%,0,40.6,Long-term Target,Medium
elonn musk age,74.8,14,0,0.00%,2.00%,0,40.5,Long-term Target,Medium
math tutoring logo,67.7,21,0,0.00%,2.00%,0,40.5,Long-term Target,Medium
elon musk son name,86.8,195,0,0.00%,2.00%,3,40.5,Long-term Target,Medium
fractions made easy,65.3,10,0,0.00%,2.00%,0,40.5,Long-term Target,Medium
invitation pronunciation,71.5,17,0,0.00%,2.00%,0,40.5,Long-term Target,Medium
maths help app,83.2,244,0,0.00%,2.00%,4,40.5,Long-term Target,Medium
6th grade math tutoring,82.9,282,0,0.00%,2.00%,5,40.5,Long-term Target,Medium
best math tutoring for high school students,64.4,12,0,0.00%,2.00%,0,40.5,Long-term Target,Medium
learning outsource group,69.8,13,0,0.00%,2.00%,0,40.5,Long-term Target,Medium
cyber monday multi game table deals,63.9,11,0,0.00%,2.00%,0,40.5,Long-term Target,Medium
all day summer camps,64.6,68,0,0.00%,2.00%,1,40.5,Long-term Target,Medium
flash cards for 3 year olds,71.6,24,0,0.00%,2.00%,0,40.5,Long-term Target,Medium
english advanced tutoring,74.5,13,0,0.00%,2.00%,0,40.5,Long-term Target,Medium
dyscalculia games,76.4,18,0,0.00%,2.00%,0,40.5,Long-term Target,Medium
advanced math tutoring,85.2,353,0,0.00%,2.00%,7,40.5,Long-term Target,Medium
